"customerkey","name","gender","datefirstpurchase","addressline1","city","state","country","salesterritorykey"
11000,"Jon V Yang","M","2020-01-19","3761 N. 14th St","Rockhampton","Queensland","Australia",9
11001,"Eugene L Huang","M","2020-01-15","2243 W St.","Seaford","Victoria","Australia",9
11002,"Ruben NULL Torres","M","2020-01-07","5844 Linden Land","Hobart","Tasmania","Australia",9
11003,"Christy NULL Zhu","F","2019-12-29","1825 Village Pl.","North Ryde","New South Wales","Australia",9
11004,"Elizabeth NULL Johnson","F","2020-01-23","7553 Harness Circle","Wollongong","New South Wales","Australia",9
11005,"Julio NULL Ruiz","M","2019-12-30","7305 Humphrey Drive","East Brisbane","Queensland","Australia",9
11006,"Janet G Alvarez","F","2020-01-24","2612 Berry Dr","Matraville","New South Wales","Australia",9
11007,"Marco NULL Mehta","M","2020-01-09","942 Brook Street","Warrnambool","Victoria","Australia",9
11008,"Rob NULL Verhoff","F","2020-01-25","624 Peabody Road","Bendigo","Victoria","Australia",9
11009,"Shannon C Carlson","M","2020-01-27","3839 Northgate Road","Hervey Bay","Queensland","Australia",9
11010,"Jacquelyn C Suarez","F","2020-01-14","7800 Corrinne Court","East Brisbane","Queensland","Australia",9
11011,"Curtis NULL Lu","M","2019-12-30","1224 Shoenic","East Brisbane","Queensland","Australia",9
11012,"Lauren M Walker","F","2022-03-16","4785 Scott Street","Bremerton","Washington","United States",1
11013,"Ian M Jenkins","M","2022-04-13","7902 Hudson Ave.","Lebanon","Oregon","United States",1
11014,"Sydney NULL Bennett","F","2022-03-23","9011 Tank Drive","Redmond","Washington","United States",1
11015,"Chloe NULL Young","F","2022-01-18","244 Willow Pass Road","Burbank","California","United States",4
11016,"Wyatt L Hill","M","2022-02-09","9666 Northridge Ct.","Imperial Beach","California","United States",4
11017,"Shannon NULL Wang","F","2020-01-12","7330 Saddlehill Lane","Sunbury","Victoria","Australia",9
11018,"Clarence D Rai","M","2020-01-17","244 Rivewview","Bendigo","Victoria","Australia",9
11019,"Luke L Lal","M","2022-02-12","7832 Landing Dr","Langley","British Columbia","Canada",6
11020,"Jordan C King","M","2021-12-29","7156 Rose Dr.","Metchosin","British Columbia","Canada",6
11021,"Destiny NULL Wilson","F","2022-01-23","8148 W. Lake Dr.","Beaverton","Oregon","United States",1
11022,"Ethan G Zhang","M","2022-01-20","1769 Nicholas Drive","Bellingham","Washington","United States",1
11023,"Seth M Edwards","M","2022-02-17","4499 Valley Crest","Bellflower","California","United States",4
11024,"Russell NULL Xie","M","2022-06-27","8734 Oxford Place","Concord","California","United States",4
11025,"Alejandro NULL Beck","M","2020-01-06","2596 Franklin Canyon Road","Hawthorne","Queensland","Australia",9
11026,"Harold NULL Sai","M","2020-01-23","8211 Leeds Ct.","Goulburn","New South Wales","Australia",9
11027,"Jessie R Zhao","M","2020-01-16","213 Valencia Place","Warrnambool","Victoria","Australia",9
11028,"Jill NULL Jimenez","F","2020-01-26","9111 Rose Ann Ave","St. Leonards","New South Wales","Australia",9
11029,"Jimmy L Moreno","M","2020-01-19","6385 Mark Twain","Bendigo","Victoria","Australia",9
